id,x,y,z,lat,lng,floor,type,name
1,0,0,0,35.61084,139.55369,0,1,
2,0,-20.6,0,35.61087,139.55393,0,1,
3,-53.5,-20.6,0,35.61118,139.55389,0,1,
4,-53.5,-41.3,6.8,35.6112,139.55413,0,1,
5,1.3999999999999986,-41.3,8.8,35.61091,139.55416,0,1,
6,-7.5,-130.5,28.8,35.61092,139.55514,0,1,
7,-7.5,-104,28.8,35.61086,139.55483,0,1,
8,31.4,-84.2,29.3,35.61061,139.55473,0,1,
9,54.2,-72.6,35.9,35.61035,139.55466,0,1,
10,46.8,-59.7,34.7,35.6104,139.55448,0,1,
11,47.8,-82.19999999999999,35.9,35.61026,139.55473,0,1,
12,102.9,-54.1,41.3,35.60979,139.55452,0,1,
13,121.50590344441822,-105.21927578728973,41.3,35.60965,139.55504,0,1,
14,122.66877240969436,-108.41423052399534,41.3,35.60963,139.55513,0,1,
15,123.31861094911338,-110.19964640627201,41.3,35.6096,139.55521,0,1,
16,37.8,-64.3,29.3,35.61045,139.5545,0,1,
17,41,-49.6,34.1,35.61042,139.55435,0,1,
18,38.8,-45.8,34.1,35.61043,139.55427,0,1,
19,64,-33,34.1,35.61013,139.55419,0,1,
20,92.5,-18.5,34.1,35.60985,139.55409,0,1,
21,94.7,-22.3,34.1,35.60984,139.55416,0,1,
22,48.9,-19.6,34.1,35.61022,139.55385,0,1,
23,46.1,-21,34.1,35.61028,139.55388,0,1,
24,37.2,0.8,34.1,35.61035,139.5536,0,1,
25,-2.8720280817014583,-164.6320068610545,28.8,35.6108,139.5557,0,1,
26,75.16092632978372,-121.58218945568831,36.30411265848407,35.61008,139.55539,0,1,
27,-64.5,-41.3,6.8,35.61142,139.55411,0,1,
28,-64.5,-118.3,6.8,35.61151,139.55492,0,1,
29,-109.1,-118.3,6.8,35.6119,139.55488,0,1,
30,-109.1,-147.8,6.8,35.61195,139.55519,0,1,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
